Age,Experience,Salary,Performance_Score,Projects_Completed,Training_Hours,Satisfaction_Score,Productivity_Score
50,10,71843,91,13,16,10,86
36,13,115735,80,7,77,10,86
29,19,41371,52,15,67,3,59
42,7,102371,89,5,84,7,59
40,17,27049,95,6,38,3,68
44,20,56616,73,13,45,2,66
32,4,45932,99,7,98,10,70
32,5,54855,81,3,30,4,63
45,7,86434,96,12,45,8,58
45,13,97694,71,10,19,9,95
24,15,68016,72,3,82,7,50
43,11,32400,51,5,33,1,100
23,4,67642,76,6,73,3,94
45,13,40151,91,9,58,9,62
51,7,76407,51,13,45,1,53
23,19,91690,75,14,91,9,50
42,2,29499,66,12,33,8,98
54,10,31295,89,5,32,1,89
33,13,84040,82,15,71,6,81
43,6,37183,58,1,46,5,83
46,12,54299,92,14,21,6,77
48,12,37874,97,14,64,10,80
49,20,57711,88,14,22,5,57
37,11,30539,78,4,32,6,88
36,7,78351,91,5,98,5,75
24,1,86267,75,12,39,5,83
28,1,73354,84,10,26,4,52
42,20,27557,99,10,71,3,99
30,13,63360,74,5,93,3,61
39,9,107018,73,7,98,4,50
25,3,27200,62,4,95,9,93
46,7,93497,56,1,22,2,54
35,6,71975,85,14,68,9,79
30,8,46357,94,14,28,1,79
47,9,102505,69,5,58,1,66
23,5,27869,50,7,21,5,97
41,1,86135,57,10,70,6,96
49,19,75108,95,10,28,6,72
28,10,119179,65,6,85,3,64
29,12,115272,63,5,18,7,86
35,15,63467,61,4,80,9,70
38,9,48328,100,2,37,10,63
25,20,116412,72,4,87,8,51
23,17,111831,64,15,61,6,60
27,17,28987,77,10,92,8,100
25,20,83871,83,10,25,5,88
50,12,47399,51,3,78,8,87
39,7,71214,81,10,21,10,83
47,2,111416,72,1,34,4,87
55,3,95271,71,8,61,10,99
31,17,69064,100,5,94,8,83
35,5,95091,74,13,62,10,67
52,17,65818,71,4,32,2,79
36,17,70525,71,8,25,5,64
29,17,44830,98,7,66,9,76
35,2,42429,91,2,48,4,100
44,2,31893,55,1,62,6,83
42,5,104909,64,12,51,1,87
37,1,72333,92,11,67,9,82
39,1,28436,86,4,48,1,73
45,19,99290,82,8,23,5,64
47,2,101213,57,12,14,4,79
46,12,30895,93,2,44,3,91
50,6,44738,93,3,96,6,100
36,4,55746,54,12,84,2,66
22,11,74377,88,1,27,3,54
46,17,73404,53,1,85,5,78
28,6,79045,55,13,18,9,53
30,5,64790,94,3,83,2,59
45,20,30600,81,11,67,10,66
22,2,119660,79,5,26,8,59
29,6,118179,96,12,16,2,66
45,11,65764,84,3,55,5,69
32,16,99543,89,1,22,7,73
38,16,70714,65,1,49,8,54
29,1,81835,62,8,51,1,83
54,9,98744,99,10,18,6,55
26,6,81491,91,11,59,1,51
49,16,43589,79,12,36,2,62
28,3,68484,68,13,75,1,92
30,20,107989,66,13,14,5,92
29,4,61212,68,12,38,10,97
33,19,68525,77,15,46,9,60
55,3,72202,75,14,47,6,100
54,19,57635,86,2,92,1,96
44,20,88208,75,13,17,1,72
45,7,58828,72,3,74,2,65
43,20,43711,58,2,95,9,80
48,9,28420,61,3,26,3,60
22,1,25301,50,7,80,1,65
35,8,70236,50,1,98,5,57
24,7,91235,96,10,54,7,53
22,18,79240,83,8,13,6,89
26,8,90726,81,13,45,1,53
47,1,35492,97,10,79,5,74
35,11,31102,74,10,40,5,52
48,18,75336,89,10,28,6,81
30,10,110314,94,14,70,3,52
36,3,51641,50,2,63,5,76
36,7,59584,65,3,48,7,78
